B04,B03,B02,B8A,label
0.0366,0.0518,0.0273,0.4408,2
0.021,0.0365,0.0187,0.3898,2
0.0193,0.0339,0.0175,0.3786,2
0.0203,0.0351,0.0177,0.3737,2
0.0209,0.0399,0.0196,0.3945,2
0.0238,0.046,0.0218,0.4398,2
0.0232,0.0367,0.0191,0.3641,2
0.0213,0.0371,0.0193,0.3963,2
0.0195,0.0373,0.0183,0.3951,2
0.0194,0.0368,0.0186,0.3804,2
0.0193,0.0362,0.0182,0.3771,2
0.0196,0.0353,0.0177,0.3735,2
0.02,0.0351,0.0183,0.3563,2
0.0207,0.0345,0.0191,0.3347,2
0.0214,0.0341,0.0186,0.3414,2
0.0384,0.0522,0.0328,0.3533,2
0.0271,0.0402,0.0223,0.3441,2
0.0212,0.0352,0.018,0.3525,2
0.0308,0.0519,0.0266,0.4414,2
0.0212,0.0378,0.0196,0.3786,2
0.0197,0.0342,0.0175,0.3751,2
0.0195,0.0336,0.0182,0.3626,2
0.0193,0.0337,0.0178,0.3741,2
0.0323,0.0423,0.0245,0.3485,2
0.0665,0.0666,0.0451,0.3176,2
0.0463,0.0542,0.0337,0.3485,2
0.0241,0.0441,0.0216,0.4203,2
0.0236,0.0412,0.0229,0.3547,2
0.0231,0.0367,0.0211,0.3156,2
0.0215,0.037,0.0198,0.3604,2
0.0211,0.037,0.0196,0.3686,2
0.0222,0.0398,0.0216,0.3705,2
0.0225,0.0383,0.0206,0.3542,2
0.0244,0.0411,0.0225,0.3526,2
0.0279,0.0409,0.0228,0.3518,2
0.0283,0.0467,0.0233,0.4213,2
0.037,0.0538,0.0284,0.4652,2
0.0236,0.0437,0.0211,0.4553,2
0.0213,0.0375,0.019,0.3695,2
0.0196,0.0349,0.0183,0.3679,2
0.019,0.0339,0.0173,0.3616,2
0.0227,0.0426,0.0201,0.4217,2
0.0277,0.0459,0.0229,0.4427,2
0.0208,0.0383,0.0189,0.439,2
0.0189,0.0352,0.0176,0.3901,2
0.0199,0.0346,0.0177,0.3648,2
0.0208,0.0341,0.0179,0.3451,2
0.0201,0.0346,0.0185,0.3564,2
0.0185,0.0349,0.0183,0.37,2
0.0193,0.0347,0.0184,0.3505,2
0.02,0.0344,0.0187,0.3435,2
0.029,0.0419,0.0244,0.3357,2
0.03,0.0437,0.0258,0.3261,2
0.0208,0.0357,0.0183,0.3405,2
0.0211,0.0353,0.018,0.3463,2
0.0215,0.0348,0.0188,0.3472,2
